path,rows,timeused(s),timeused(m),avgtime,messageDate
Step02,60000,197.96,3.30,0.0033,#201712
Step09~Step12,59400.00,3849.49,64.16,0.14,#201704
Step08~Step10~Step11~Step13,99400.00,7319.31,121.99,0.38,#201703
Step03~Step04~Step05~Step06~Step07,124200.00,11089.38,184.82,0.62,#201702
Step01,60000,270.18,4.50,0.0045,#201612
